target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
5,47,2,47002,EA,0.3456403282847061,5
5,47,2,47002,SA,0.32882632820678653,4
5,47,3,47003,EA,0.4752339678635874,6
5,47,3,47003,SA,0.2788516867599343,5
5,47,4,47004,EA,0.3782124045885177,5
5,47,4,47004,SA,0.30620353600608385,10
6,48,0,48000,EA,0.6847609621869569,6
6,48,0,48000,SA,0.2963554112681999,3
6,48,1,48001,EA,0.4966908282471556,7
6,48,1,48001,SA,0.4589138188719589,8
6,48,2,48002,EA,0.6462025017730825,7
6,48,2,48002,SA,0.48631019085719535,7
6,48,3,48003,EA,0.6668106238862318,8
6,48,3,48003,SA,0.6112304460495871,9
6,48,4,48004,EA,0.53246830149395,7
6,48,4,48004,SA,0.3979763266584071,4
7,49,0,49000,EA,0.5752111343155427,5
7,49,0,49000,SA,0.4229954728775836,5
7,49,1,49001,EA,0.5244293052090445,6
7,49,1,49001,SA,0.48161349418715665,12
7,49,2,49002,EA,0.5355035435574482,7
7,49,2,49002,SA,0.4753126214381843,7
7,49,3,49003,EA,0.5728268771301754,5
7,49,3,49003,SA,0.3785749022623703,8
7,49,4,49004,EA,0.584075619258749,5
7,49,4,49004,SA,0.2715132886196403,3
8,50,0,50000,EA,0.5763721717915261,6
8,50,0,50000,SA,0.6180264394688196,9
8,50,1,50001,EA,0.6780460801947106,8
8,50,1,50001,SA,0.37964882331701627,5
8,50,2,50002,EA,0.5738415262545644,5
8,50,2,50002,SA,0.4991006932776945,5
8,50,3,50003,EA,0.5272757504775221,4
8,50,3,50003,SA,0.5562597642911051,7
8,50,4,50004,EA,0.573720859436472,5
8,50,4,50004,SA,0.37850843152120467,3
9,51,0,51000,EA,0.48859603305987176,5
9,51,0,51000,SA,0.39821751403511674,4
9,51,1,51001,EA,0.5311620517824989,7
9,51,1,51001,SA,0.21035238681485638,5
9,51,2,51002,EA,0.498706838509131,4
9,51,2,51002,SA,0.3936681878830034,5
9,51,3,51003,EA,0.5750417086176114,5
9,51,3,51003,SA,0.4444725714635321,8
9,51,4,51004,EA,0.4652368178585718,8
9,51,4,51004,SA,0.2048022422297183,7
10,52,0,52000,EA,0.5744028866020947,6
10,52,0,52000,SA,0.4871317125982842,7
10,52,1,52001,EA,0.6276371279519015,8
10,52,1,52001,SA,0.5517455648460938,4
10,52,2,52002,EA,0.570908259717074,6
10,52,2,52002,SA,0.3425690106797773,3
10,52,3,52003,EA,0.5762500219675165,6
10,52,3,52003,SA,0.32165651343718127,8
10,52,4,52004,EA,0.5404260245567494,5
10,52,4,52004,SA,0.5404728529587363,11
11,53,0,53000,EA,0.647636991840027,4
11,53,0,53000,SA,0.6170262255013681,6
11,53,1,53001,EA,0.6237070713427717,4
11,53,1,53001,SA,0.6508387471500114,7
11,53,2,53002,EA,0.5830492337073316,3
11,53,2,53002,SA,0.5978423721632312,8
11,53,3,53003,EA,0.6688555267152925,6
11,53,3,53003,SA,0.5960946009381799,6
11,53,4,53004,EA,0.6530333958670738,5
11,53,4,53004,SA,0.4115579581212813,3
12,54,0,54000,EA,0.5935598886213945,6
12,54,0,54000,SA,0.5967278143884797,5
12,54,1,54001,EA,0.6447632926550915,9
12,54,1,54001,SA,0.366795115802798,4
12,54,2,54002,EA,0.6029450984608402,6
12,54,2,54002,SA,0.5530763243991732,6
12,54,3,54003,EA,0.5951971040913324,5
12,54,3,54003,SA,0.519131551108118,6
12,54,4,54004,EA,0.5055145219145837,4
12,54,4,54004,SA,0.4634950294898097,8
