target_idx,target_seed,repeat,repeat_seed,algorithm,fidelity,gate_count
3,45,1,45001,EA,0.4171411451983059,5
3,45,1,45001,SA,0.3485345327694126,7
3,45,2,45002,EA,0.3265695074512011,4
3,45,2,45002,SA,0.3430368376552228,5
3,45,3,45003,EA,0.3343480071280677,4
3,45,3,45003,SA,0.39084981746086805,6
3,45,4,45004,EA,0.3172416678293321,3
3,45,4,45004,SA,0.4480405822014313,9
3,45,5,45005,EA,0.3440062565915515,4
3,45,5,45005,SA,0.3159150039687223,3
3,45,6,45006,EA,0.33292491432431603,5
3,45,6,45006,SA,0.450048257470036,7
3,45,7,45007,EA,0.3393060192499168,4
3,45,7,45007,SA,0.2939334610385635,4
4,46,0,46000,EA,0.4642080655265243,6
4,46,0,46000,SA,0.34324242407571354,14
4,46,1,46001,EA,0.5988537828675408,7
4,46,1,46001,SA,0.3240916508257825,4
4,46,2,46002,EA,0.450739735388543,4
4,46,2,46002,SA,0.4289518224444882,9
4,46,3,46003,EA,0.46291733553836456,5
4,46,3,46003,SA,0.43435944015974826,7
4,46,4,46004,EA,0.4835894567483903,5
4,46,4,46004,SA,0.3266899883922896,4
4,46,5,46005,EA,0.39286071592818805,5
4,46,5,46005,SA,0.25877154553448134,7
4,46,6,46006,EA,0.4431607100299148,6
4,46,6,46006,SA,0.4499948957254163,8
4,46,7,46007,EA,0.3616599138958348,5
4,46,7,46007,SA,0.3914188100890721,7
5,47,0,47000,EA,0.3299167682972159,3
5,47,0,47000,SA,0.33961639722325127,5
5,47,1,47001,EA,0.5253403141361472,7
5,47,1,47001,SA,0.2434743925224649,4
5,47,2,47002,EA,0.513357468905652,8
5,47,2,47002,SA,0.32882632820678653,4
5,47,3,47003,EA,0.4419596364736135,5
5,47,3,47003,SA,0.2788516867599343,5
5,47,4,47004,EA,0.5086505447791421,6
5,47,4,47004,SA,0.30620353600608385,10
5,47,5,47005,EA,0.4898003391331313,6
5,47,5,47005,SA,0.3317813899853813,6
5,47,6,47006,EA,0.35778573858439805,4
5,47,6,47006,SA,0.2989480144767221,8
5,47,7,47007,EA,0.30547385936319676,5
5,47,7,47007,SA,0.3619902113932022,5
6,48,0,48000,EA,0.6034911450586351,6
6,48,0,48000,SA,0.2963554112681999,3
6,48,1,48001,EA,0.6272718452887402,4
6,48,1,48001,SA,0.4589138188719589,8
6,48,2,48002,EA,0.6289279660335474,5
6,48,2,48002,SA,0.48631019085719535,7
6,48,3,48003,EA,0.6786630171725819,8
6,48,3,48003,SA,0.6112304460495871,9
6,48,4,48004,EA,0.6602309527678994,7
6,48,4,48004,SA,0.3979763266584071,4
6,48,5,48005,EA,0.5575701599927374,9
6,48,5,48005,SA,0.2817090833389779,3
6,48,6,48006,EA,0.6677033552817226,5
6,48,6,48006,SA,0.33029807616045737,9
6,48,7,48007,EA,0.6568958037538152,6
6,48,7,48007,SA,0.4034952250244202,5
7,49,0,49000,EA,0.5719779573204665,6
7,49,0,49000,SA,0.4229954728775836,5
7,49,1,49001,EA,0.5695304405370399,6
7,49,1,49001,SA,0.48161349418715665,12
7,49,2,49002,EA,0.5278480514006078,6
7,49,2,49002,SA,0.4753126214381843,7
7,49,3,49003,EA,0.546602653530094,6
7,49,3,49003,SA,0.3785749022623703,8
7,49,4,49004,EA,0.4958767344753003,5
7,49,4,49004,SA,0.2715132886196403,3
7,49,5,49005,EA,0.5010548642184354,7
7,49,5,49005,SA,0.40088563794625565,5
7,49,6,49006,EA,0.5749223857220342,5
7,49,6,49006,SA,0.20976153340959722,8
7,49,7,49007,EA,0.5761776294048939,6
7,49,7,49007,SA,0.42371036902215037,9
8,50,0,50000,EA,0.637974674792228,6
8,50,0,50000,SA,0.6180264394688196,9
8,50,1,50001,EA,0.6080203375608862,6
8,50,1,50001,SA,0.37964882331701627,5
8,50,2,50002,EA,0.4994220882611552,5
8,50,2,50002,SA,0.4991006932776945,5
8,50,3,50003,EA,0.5636024473373636,4
8,50,3,50003,SA,0.5562597642911051,7
8,50,4,50004,EA,0.5552769081417882,5
8,50,4,50004,SA,0.37850843152120467,3
8,50,5,50005,EA,0.6891927817903889,7
8,50,5,50005,SA,0.5197817741032046,13
8,50,6,50006,EA,0.5883952757779847,5
8,50,6,50006,SA,0.6883051696818457,9
8,50,7,50007,EA,0.6401526608701659,5
8,50,7,50007,SA,0.5336480001175438,7
9,51,0,51000,EA,0.4879942929347371,5
9,51,0,51000,SA,0.39821751403511674,4
9,51,1,51001,EA,0.5612160986159503,5
9,51,1,51001,SA,0.21035238681485638,5
9,51,2,51002,EA,0.5710701010201652,4
9,51,2,51002,SA,0.3936681878830034,5
9,51,3,51003,EA,0.5197402920088808,6
9,51,3,51003,SA,0.4444725714635321,8
9,51,4,51004,EA,0.5328989163964556,5
9,51,4,51004,SA,0.2048022422297183,7
9,51,5,51005,EA,0.43508163037437314,6
9,51,5,51005,SA,0.23673213318801634,7
9,51,6,51006,EA,0.5667962835177918,5
9,51,6,51006,SA,0.32084093334587693,5
9,51,7,51007,EA,0.5571568947656143,6
9,51,7,51007,SA,0.4034975074750516,7
10,52,0,52000,EA,0.5561000395202119,4
10,52,0,52000,SA,0.4871317125982842,7
10,52,1,52001,EA,0.536009069787206,7
10,52,1,52001,SA,0.5517455648460938,4
10,52,2,52002,EA,0.5719355838361008,5
10,52,2,52002,SA,0.3425690106797773,3
10,52,3,52003,EA,0.4066695643822557,2
10,52,3,52003,SA,0.32165651343718127,8
10,52,4,52004,EA,0.3516190110029415,3
10,52,4,52004,SA,0.5404728529587363,11
10,52,5,52005,EA,0.5742841694329579,5
10,52,5,52005,SA,0.5351213498159686,5
10,52,6,52006,EA,0.5785993793415539,7
10,52,6,52006,SA,0.37407466585543797,2
10,52,7,52007,EA,0.5748339243983492,6
10,52,7,52007,SA,0.3495534396744588,7
11,53,0,53000,EA,0.6649661406428746,6
11,53,0,53000,SA,0.6170262255013681,6
11,53,1,53001,EA,0.6772948655310549,5
11,53,1,53001,SA,0.6508387471500114,7
11,53,2,53002,EA,0.6606035712999455,4
11,53,2,53002,SA,0.5978423721632312,8
11,53,3,53003,EA,0.6522982155479113,5
